"Save Link","Save Link"
"The link has been deleted.","The link has been deleted."
"Unable to find a link to delete.","Unable to find a link to delete."
"Edit Link","Edit Link"
"New Link","New Link"
"Manage Links","Manage Links"
"HTML Sitemap","HTML Sitemap"
"Link has been saved.","Link has been saved."
"Something went wrong while saving the link.","Something went wrong while saving the link."
"2 Columns","2 Columns"
"4 Columns","4 Columns"
"Link was not registered","Link was not registered"
"Delete ""${ $.$data.name }""","Delete ""${ $.$data.name }"""
"Are you sure you wan't to delete a ""${ $.$data.name }"" record?","Are you sure you wan't to delete a ""${ $.$data.name }"" record?"
"Sitemap Page Title","Sitemap Page Title"
"Sitemap Meta Description","Sitemap Meta Description"
"Sitemap Meta Keywords","Sitemap Meta Keywords"
"Sitemap Content Settings","Sitemap Content Settings"
"Show Stores on Sitemap","Show Stores on Sitemap"
"Show Categories on Sitemap","Show Categories on Sitemap"
"Max Categories Depth","Max Categories Depth"
"Use 0 for all levels","Use 0 for all levels"
"Show Products on Sitemap","Show Products on Sitemap"
"Show Out of Stock Products","Show Out of Stock Products"
"Sort Products and Categories By","Sort Products and Categories By"
"Number of Columns","Number of Columns"
"Group Links by First Letter","Group Links by First Letter"
"Show CMS Pages on Sitemap","Show CMS Pages on Sitemap"
"Exclude CMS Pages","Exclude CMS Pages"
"Show Custom Links on Sitemap","Show Custom Links on Sitemap"
"To add custom links go Swissup > HTML Sitemap Links ","To add custom links go Swissup > HTML Sitemap Links "
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Are you sure you want to enable selected items?","Are you sure you want to enable selected items?"
"Are you sure you want to disable selected items?","Are you sure you want to disable selected items?"
"Link Information","Link Information"
"CMS Pages","CMS Pages"
"Other Pages","Other Pages"
